report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
2016-02-20,Mexico-Aguascalientes,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases,POINT(-102.284779 21.886676)
2016-02-20,Mexico-Baja_California,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases,POINT(-113.41426 27.808935)
2016-02-20,Mexico-Baja_California_Sur,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases,POINT(-111.806849 25.203398)
2016-02-20,Mexico-Campeche,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases,POINT(-89.987693 18.801391)
2016-02-20,Mexico-Chiapas,state,weekly_zika_confirmed,MX0001,NA,NA,3,cases,POINT(-93.051865 16.740293)
2016-02-20,Mexico-Chihuahua,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases,POINT(-106.080696 28.646170)
2016-02-20,Mexico-Coahuila_de_Zaragoza,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases,POINT(-106.103536 28.673111)
2016-02-20,Mexico-Colima,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases,POINT(-103.718997 19.244897)
2016-02-20,Mexico-Distrito_Federal,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases,POINT(-99.154352 19.381117)
2016-02-20,Mexico-Durango,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases,POINT(-104.569373 23.957313)
2016-02-20,Mexico-Guanajuato,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases,POINT(-101.205396 20.738283)
2016-02-20,Mexico-Guerrero,state,weekly_zika_confirmed,MX0001,NA,NA,2,cases,POINT(-100.394086 17.614173)
2016-02-20,Mexico-Hidalgo,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases,POINT(-98.999753 20.437948)
2016-02-20,Mexico-Jalisco,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases,POINT(-103.555425 20.548388)
2016-02-20,Mexico-Mexico,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases,POINT(-99.248544 19.623374)
2016-02-20,Mexico-Michoacan_de_Ocampo,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases,POINT(-101.090275 19.638612)
2016-02-20,Mexico-Morelos,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases,POINT(-101.235582 19.644956)
2016-02-20,Mexico-Nayarit,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases,POINT(-105.064080 21.553137)
2016-02-20,Mexico-Nuevo_Leon,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases,POINT(-100.212126 25.563082)
2016-02-20,Mexico-Oaxaca,state,weekly_zika_confirmed,MX0001,NA,NA,25,cases,POINT(-96.688639 17.071072)
2016-02-20,Mexico-Puebla,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases,POINT(-98.201901 19.041942)
2016-02-20,Mexico-Queretaro_de_Arteaga,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases,POINT(-99.968735 20.777263)
2016-02-20,Mexico-Quintana_Roo,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases,POINT(-87.665571 19.363133)
2016-02-20,Mexico-San_Luis_Potosi,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases,POINT(-100.971871 22.153367)
2016-02-20,Mexico-Sinaloa,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases,POINT(-107.433421 24.718138)
2016-02-20,Mexico-Sonora,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases,POINT(-110.869511 28.917388)
2016-02-20,Mexico-Tabasco,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases,POINT(-93.011903 18.157471)
2016-02-20,Mexico-Tamaulipas,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases,POINT(-97.889001 24.706950)
2016-02-20,Mexico-Tlaxcala,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases,POINT(-98.162046 19.423933)
2016-02-20,Mexico-Veracruz_de_Ignacio_de_la_Llave,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases,POINT(-96.450242 19.030887)
2016-02-20,Mexico-Yucatan,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases,POINT(-96.450242 19.030887)
2016-02-20,Mexico-Zacatecas,state,weekly_zika_confirmed,MX0001,NA,NA,0,cases,POINT(-102.781320 22.845070)
2016-02-20,Mexico-Aguascalientes,state,yearly_cumulative_female,MX0002,NA,NA,0,cases,POINT(-102.284779 21.886676)
2016-02-20,Mexico-Baja_California,state,yearly_cumulative_female,MX0002,NA,NA,0,cases,POINT(-113.41426 27.808935)
2016-02-20,Mexico-Baja_California_Sur,state,yearly_cumulative_female,MX0002,NA,NA,0,cases,POINT(-111.806849 25.203398)
2016-02-20,Mexico-Campeche,state,yearly_cumulative_female,MX0002,NA,NA,0,cases,POINT(-89.987693 18.801391)
2016-02-20,Mexico-Chiapas,state,yearly_cumulative_female,MX0002,NA,NA,33,cases,POINT(-93.051865 16.740293)
2016-02-20,Mexico-Chihuahua,state,yearly_cumulative_female,MX0002,NA,NA,0,cases,POINT(-106.080696 28.646170)
2016-02-20,Mexico-Coahuila_de_Zaragoza,state,yearly_cumulative_female,MX0002,NA,NA,0,cases,POINT(-106.103536 28.673111)
2016-02-20,Mexico-Colima,state,yearly_cumulative_female,MX0002,NA,NA,0,cases,POINT(-103.718997 19.244897)
2016-02-20,Mexico-Distrito_Federal,state,yearly_cumulative_female,MX0002,NA,NA,0,cases,POINT(-99.154352 19.381117)
2016-02-20,Mexico-Durango,state,yearly_cumulative_female,MX0002,NA,NA,0,cases,POINT(-104.569373 23.957313)
2016-02-20,Mexico-Guanajuato,state,yearly_cumulative_female,MX0002,NA,NA,0,cases,POINT(-101.205396 20.738283)
2016-02-20,Mexico-Guerrero,state,yearly_cumulative_female,MX0002,NA,NA,2,cases,POINT(-100.394086 17.614173)
2016-02-20,Mexico-Hidalgo,state,yearly_cumulative_female,MX0002,NA,NA,0,cases,POINT(-98.999753 20.437948)
2016-02-20,Mexico-Jalisco,state,yearly_cumulative_female,MX0002,NA,NA,0,cases,POINT(-103.555425 20.548388)
2016-02-20,Mexico-Mexico,state,yearly_cumulative_female,MX0002,NA,NA,0,cases,POINT(-99.248544 19.623374)
2016-02-20,Mexico-Michoacan_de_Ocampo,state,yearly_cumulative_female,MX0002,NA,NA,0,cases,POINT(-101.090275 19.638612)
2016-02-20,Mexico-Morelos,state,yearly_cumulative_female,MX0002,NA,NA,0,cases,POINT(-101.235582 19.644956)
2016-02-20,Mexico-Nayarit,state,yearly_cumulative_female,MX0002,NA,NA,0,cases,POINT(-105.064080 21.553137)
2016-02-20,Mexico-Nuevo_Leon,state,yearly_cumulative_female,MX0002,NA,NA,0,cases,POINT(-100.212126 25.563082)
2016-02-20,Mexico-Oaxaca,state,yearly_cumulative_female,MX0002,NA,NA,35,cases,POINT(-96.688639 17.071072)
2016-02-20,Mexico-Puebla,state,yearly_cumulative_female,MX0002,NA,NA,0,cases,POINT(-98.201901 19.041942)
2016-02-20,Mexico-Queretaro_de_Arteaga,state,yearly_cumulative_female,MX0002,NA,NA,0,cases,POINT(-99.968735 20.777263)
2016-02-20,Mexico-Quintana_Roo,state,yearly_cumulative_female,MX0002,NA,NA,0,cases,POINT(-87.665571 19.363133)
2016-02-20,Mexico-San_Luis_Potosi,state,yearly_cumulative_female,MX0002,NA,NA,0,cases,POINT(-100.971871 22.153367)
2016-02-20,Mexico-Sinaloa,state,yearly_cumulative_female,MX0002,NA,NA,0,cases,POINT(-107.433421 24.718138)
2016-02-20,Mexico-Sonora,state,yearly_cumulative_female,MX0002,NA,NA,0,cases,POINT(-110.869511 28.917388)
2016-02-20,Mexico-Tabasco,state,yearly_cumulative_female,MX0002,NA,NA,0,cases,POINT(-93.011903 18.157471)
2016-02-20,Mexico-Tamaulipas,state,yearly_cumulative_female,MX0002,NA,NA,0,cases,POINT(-97.889001 24.706950)
2016-02-20,Mexico-Tlaxcala,state,yearly_cumulative_female,MX0002,NA,NA,0,cases,POINT(-98.162046 19.423933)
2016-02-20,Mexico-Veracruz_de_Ignacio_de_la_Llave,state,yearly_cumulative_female,MX0002,NA,NA,1,cases,POINT(-96.450242 19.030887)
2016-02-20,Mexico-Yucatan,state,yearly_cumulative_female,MX0002,NA,NA,1,cases,POINT(-96.450242 19.030887)
2016-02-20,Mexico-Zacatecas,state,yearly_cumulative_female,MX0002,NA,NA,0,cases,POINT(-102.781320 22.845070)
2016-02-20,Mexico-Aguascalientes,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-102.284779 21.886676)
2016-02-20,Mexico-Baja_California,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-113.41426 27.808935)
2016-02-20,Mexico-Baja_California_Sur,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-111.806849 25.203398)
2016-02-20,Mexico-Campeche,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-89.987693 18.801391)
2016-02-20,Mexico-Chiapas,state,yearly_cumulative_male,MX0003,NA,NA,14,cases,POINT(-93.051865 16.740293)
2016-02-20,Mexico-Chihuahua,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-106.080696 28.646170)
2016-02-20,Mexico-Coahuila_de_Zaragoza,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-106.103536 28.673111)
2016-02-20,Mexico-Colima,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-103.718997 19.244897)
2016-02-20,Mexico-Distrito_Federal,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-99.154352 19.381117)
2016-02-20,Mexico-Durango,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-104.569373 23.957313)
2016-02-20,Mexico-Guanajuato,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-101.205396 20.738283)
2016-02-20,Mexico-Guerrero,state,yearly_cumulative_male,MX0003,NA,NA,1,cases,POINT(-100.394086 17.614173)
2016-02-20,Mexico-Hidalgo,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-98.999753 20.437948)
2016-02-20,Mexico-Jalisco,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-103.555425 20.548388)
2016-02-20,Mexico-Mexico,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-99.248544 19.623374)
2016-02-20,Mexico-Michoacan_de_Ocampo,state,yearly_cumulative_male,MX0003,NA,NA,1,cases,POINT(-101.090275 19.638612)
2016-02-20,Mexico-Morelos,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-101.235582 19.644956)
2016-02-20,Mexico-Nayarit,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-105.064080 21.553137)
2016-02-20,Mexico-Nuevo_Leon,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-100.212126 25.563082)
2016-02-20,Mexico-Oaxaca,state,yearly_cumulative_male,MX0003,NA,NA,17,cases,POINT(-96.688639 17.071072)
2016-02-20,Mexico-Puebla,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-98.201901 19.041942)
2016-02-20,Mexico-Queretaro_de_Arteaga,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-99.968735 20.777263)
2016-02-20,Mexico-Quintana_Roo,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-87.665571 19.363133)
2016-02-20,Mexico-San_Luis_Potosi,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-100.971871 22.153367)
2016-02-20,Mexico-Sinaloa,state,yearly_cumulative_male,MX0003,NA,NA,1,cases,POINT(-107.433421 24.718138)
2016-02-20,Mexico-Sonora,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-110.869511 28.917388)
2016-02-20,Mexico-Tabasco,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-93.011903 18.157471)
2016-02-20,Mexico-Tamaulipas,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-97.889001 24.706950)
2016-02-20,Mexico-Tlaxcala,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-98.162046 19.423933)
2016-02-20,Mexico-Veracruz_de_Ignacio_de_la_Llave,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-96.450242 19.030887)
2016-02-20,Mexico-Yucatan,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-96.450242 19.030887)
2016-02-20,Mexico-Zacatecas,state,yearly_cumulative_male,MX0003,NA,NA,0,cases,POINT(-102.781320 22.845070)